Tweet,Analysis,context,Counter,
  يارب انك تلعن شركات الاتصالات كلهم لعنة لا لعنة بعدها ابدا اللهم زلزل الارض من تحت اقدامهم واجعلهم خالدين مخلدين في النار يارب مثل ما جعلنا نخلد في جحيم في الدنيا بنصبهم ونهبهم لنا وبسرعة شبكة زي الزق لا عارفين نلعب ولانعرف نسوي بحوث ولاحتى مسج نرسله بالعافية,,,,
  يارب من نصيبي تذكرة منصة,,,,
"  يارب يارب افووووز 
#روح_الاتحاد #موبايلي 💛⚫",,,,
"  يارب يارب افووووز #روح_الاتحاد #موبايلي 💛⚫",,,,
"  يارب يارب افوووووز 
#روح_الاتحاد #موبايلي 💛⚫",,,,
"  يارب يارب افوووووز 
#روح_الاتحاد #موبايلي 💛⚫
.
.
.
يارب يارب افوووووز 
#روح_الاتحاد #موبايلي 💛⚫",,,,
"  يارب يارب افوووووز 
#روح_الاتحاد #موبايلي 💛⚫
يارب يارب افوووووز 
#روح_الاتحاد #موبايلي 💛⚫",,,,
"  يارب يارب افوووووز #روح_الاتحاد #موبايلي 💛⚫",,,,
"  يارب يارب افوووووز #روح_الاتحاد #موبايلي 💛⚫...يارب يارب افوووووز #روح_الاتحاد #موبايلي 💛⚫",,,,
"  يارب يارب افوووووز #روح_الاتحاد #موبايلي 💛⚫يارب يارب افوووووز #روح_الاتحاد #موبايلي 💛⚫",,,,
  يارب يفوز,,,,
"  يارب يكون من نصيبي 
#الانترنت_عندك_سريع_او_بطي
#مسابقة_جوري_السنوية 
تم تم تم",,,,
  يارجال حتى اس تي سي ذاك اليوم كنت ادور حجوزات ارسلوا لي بعدها مسج يقولون ناوي تسافر ؟ من قوة الخرشه بغيت اكنسل الاجازه  ,,,,
"  يارجال زين أخيس شركه 
للأسف أستبشرنا خير بقدوم الشركات المنافسه 
وقلنا بنسحب ع الاتصالات ....لاكن ضعف العروض والخدمه الرديئه والمقابل المالي المرتفع جعلتنا كعملاء نذهب للاتصالات صاغرين 
     ",,,,
  يارجال عندنا في شركة الاتصالات قسم التصميم وقسم التخطيط كان فيه ٤٥ موظف سعودي أحالوا ٤١ للتقاعد وتم توظيف ٥٠ باكستاني على شركة مشغله تملكها الاتصالات,,,,
  ياشيخ انتم بس حسنوا التغطية اللي في حينا وانا ماراح اكتفي بشراء باقاتكم الا بشتري الشركة بكبرها 😂👌🏻💜,,,,
"  ياعزيزي لا حمايه للمستهلك ولا غيره عندي شكوى اكثر من سنه ماانحلت اتصلت وارسلت ايميلات ولاحياه لمن تنادي ماالوم شركات الاتصالات لانها عارفه انكم جهه مالكم دور فعال على الشركات",,,,
  يافيصل من يوم ما نزلت تغريدة بتقول انه النت اتحسن و الاسعار الجديدة مناسبة لتحسن النت و انا بدائت اشك بمصداقيتك و نصحتك انك تحافظ عليها، و التغريدة هذي فضحتك و لازلت مستمر وتكابر، واش رئيك باللف و الدوران بردود هيئة و شركات الاتصالات  لما حجبو تطبيقات الاتصال؟,,,,
  ياكثر نصايحكم اللي بدون فايده.    الاحتيال اللي تحذر منه شركات الاتصالات تنهجه بس بذوق.. ارتفاع بشرايح النت فظيع .. وانتم بس تخدير للعميل سوف يتم التحقق من الشكوى واتخاذ اللازم..  تغطية سيئة للشبكات واسعار مهولة..  وانتم لا دور لكم سوا سوف يتم التحقق..,,,,
  ياكذابين انا ب ١٥٠ ريال مفوتر مفتوح ليش تنصبون ع العالم😂😂😂😂😂  ,,,,
  يالبى اس تي سي صح انهم كلاب بس مهب مثل سوني ٢٤ زق صيانة,,,,
  يالربع نصيحه لوجه الله لحد ياخذ منهم,,,,
  يالغالي انا محول جديد من زين لموبايلي . كيف اشترك بهذه الباقة وش الرمز؟  ,,,,
  يالكذابين العرض المفوتر ١٠٠ قيقا ١٠٠ ريال كذب في كذب دفعت انا ١٥٧ اول شهر عشان الرسوم والضريبه والموظف يقول الثلاث اشهر الثانيه تدفع ١٠٥ ، والحين الشهر الثاني اتفاجئ المبلغ ١٤٠ سداد الى متى الاستغلال وعدم المصداقيه ؟؟,,,,
  يالله اني طالبك ان تجعل الاتصالات السعودية تعطيني ٨٠٠مفوتر يالله يارب ان طالبك ومبروك للفازو وانشاءالله عقبالنا,,,,
  ياليت تتواصل معي احل المشكلة والله طفشت لا نت ولا شي,,,,
  ياليت تردون,,,,
  ياليت تفتحون لكم مشروع ورق عنب وكبكيك يمكن ينجح اكثر من نتكم,,,,
  ياليت هيئة الاتصالات تنصفنا من شركة الاتصالات الياف بصريه وازفت نت ولا حياة لمن تنادي من الشركة,,,,
  ياليت هيئه الاتصالات تنظر لرفع الاسعار المبالغ فيه واستغلال العملاءبعد قرار فرض الضرائب بالزياده المبالغ فيها من ٣٠٠الى ٥٠٠ #اس_تي_سي ،ومن ٣٠٠ الى ٤٥٠ #زين .. اما من ناحيه رسائل الاحتيال، الشعب واعي بس انتو ماتقدرون ولا تحترمون ولا تستجيبون لكلام العملاءفي الهشتاقات #من_المسؤول؟,,,,
  ياليتكم تخلون ذي الامور وتلتفتون لعملائكم شوي !,,,,
  ياليتها تشتغل زين ب الشرق . زي الزفت يالله تفتح قوقل حتى,,,,
  ياليل ماطولك  ,,,,
"  يامدير فيه موضف واحد يشتغل بالفرع كامل
#زين  ",,,,
  يامعالي الوزير هل من حق شركات الاتصال مثل   و  حجب ميزة الفيس تايم من الاجهزة اللي تبيعها ؟؟,,,,
  ياموبايلي .... هل يوجد تغطية لنت أولاً؟؟؟ لا أعتقد ذلك!!,,,,
  ياموبايلي تم تغطية قريتهم من قبلكم آلان يحاولون إيصال صوتهم بالتاق لكن برجكم يضع مليون علامة ؟نت اتصال سي #قرية_أم_الغيران_بلا_خدمات,,,,
  ياموبايلي وش قصتكم بالفواتير تجلدون صرتو مثل اس. تي. سي,,,,
  ياناس انا عندي بيانات 300قيقا واللحين بتخلص عادي اشحنها 100قيقا ولالازم 300اتمنى احد يفهمني,,,,
  ياناس انا ماشفت اقل حياء من هالشركه وعينك عينك بالله عليكم شوفوا اللي بالمنشن كلهم اجمعوا على انها شركه فاشله ونصابه واحتيال وعادي ولاهمهم👊😳😳,,,,
  ياهلا فيك عزيزنا سعيدين بتواصلك مع جوي من الإتصالات السعودية، راح تحصل على مميزات الدعوه عند استخدام الشخص المدعو رمز الدعوه الخاص بك عند إنشائه حساب جديد في جوي وطلب شريحة جديدة. راح يجيك ويجيه الرصيد أول ما يفعّل شريحة جوّي.,,,,
  ياهيئة الاتصالات اتقوا الله يغلقون الشكاوي عذر اقبح م فعل بانه سبق الفصل ولم تنفذ الاتصالات السعودية النت يتوقف واذا اشتغل سيئ ارفق صورة ياهذون الاشتراك ولا يقدمون الخدمة بالعقد 10  ,,,,
  ياهيئة الاتصالات الكرام خدمات الانترنت في السعوديه بطيئه وسيئه وغاليه,,,,
  ياهيئة الإتصالات تواصلت مع شركة الاتصالات السعوديه stc وردو علي لكن للأسف لم أستفد شيء بالعكس كل واحد يقرط بلاه على الثاني والصراحه كنت متفاجئ بلغتهم العربيه المضروبه !!!,,,,
  ياويلكم لعنتكم     ,,,,
"  ياويلهم من ربي. ربي ماينسى 
#الانترنت_عندك_سريع_او_بطي",,,,
"  يبدو يا اخ محمد انك من اسبوع مغرد .. وتوه توصل التغريدة اليس كذلك يا   اااااا اقصد اليس كذلك يا اخ محمد ؟ !",,,,
  يتم اغلاق الشكاوي بعذر اقبح من فعل لديكم شكوى مكرره برقم 3913621 وتم الفصل فيها  شركة الاتصالات السعودية لها سنين بظلهما وزادا ظلم يجب على الهيئة الزامها باتنفيذ او اعادة مبالغ الاشتراك احتفظ بحق مقاضاة الهيئة والتقدم لهيئة مكافحة الفساد,,,,
  يتم اغلاق الشكاوي بعذر اقبح من فعل لديكم شكوى مكرره برقم 3913621 وتم الفصل فيها وشكرا. شركة الاتصالات السعودية لها سنين بظلهما وزادا ظلم يجب على الهيئة الزامها باتنفيذ او اعادة مبالغ الاشتراك احتفظ بحق مقاضاة الهيئة والتقدم لهيئة مكافحة الفساد,,,,
  يتم خصم كل يوم من رصيدى أكتر من مره فى اليوم برجاء إلغاء الخدمه,,,,
  يجب على الاتصالات  ايقاف الاعلان وتغيرة بمايتماشى مع هويتنا العربية السعودية الاصيلة  ,,,,
  يجب وضع حد ائتماني لكل مشترك ، بحيث يتوقف ضخ المياه عند الوصول للحد الاعلى من الاستهلاك مثل شركات الاتصالات ، لأن عدد كبير من الناس يشتكي من فواتير فلكيه ، وفي حالة عدم السداد يتم الزج بهم في سجلات سمه .. مع تحفظي الكبير على نظام الفوترة في    ,,,,
  يجي داعمين,,,,
  يجي عندي كذا ، اس تي سي نتها مستلعن هالفترة و بقوة الله يعينك يا قلبي 😔💔  ,,,,
  يحبونهم اس تي سي. يقولون اطول فاتورة تجينا. عشان بس يقول الووووة وييينكم بوووة,,,,
  يخوي انا حمار رايح أشوفها على اليوتيوب وانحرقت واشتركت في آس تي سي ٥٠٠ ميقا وطارت فلوس,,,,
  يخي اس تي سي يخي ❤️😢  ,,,,
  يدل دربه ✋🏻😄 #الانترنت_عندك_سريع_او_بطي,,,,
  يرجى العلم أننا خدمة مشاهدة الفيديو حسب الطلب عبر الانترنت من خلال المتصفح على الكمبيوتر و تطبيقنا على الاجهزة الاخرى ولا نشمل اي قنوات تلفزيونية,,,,
  يرجى دعمكم في الشكوى 39140898 بسبب مبالغ تمت اضافتها من قبل المزود للخدمة بخطأ في انظمتهم لعدم اضافتها مسبقا تم ادراجها بعد 3 عمليات فوترة دون وجه حق. #هيئة_الاتصالات,,,,
"  يرحم أمُكم وشفافيتكم 🧐الحين الشعب يغرد ويمنشنكم كل يوم وعلى رأسكم أبو عامر   بأنكم تشوفون لنا طريقة في أستغلال شركات الأتصالات الثلاث وحتى الحين لم نرى شيء في ألزامكم لهم في تخفيض الأسعار !البيانات والمكالمات غاليه جداً !     ",,,,
  يرد علي الي قيم العميل وانا ماكلته اساساً,,,,
  يرضيكم؟  ,,,,
  يروحي والله اكيد اس تي سي 😂,,,,
  يسلتمني هندي يتكلم انجليزي ساعه,,,,
  يشمل شريحة بيانات مسبق الدفع,,,,
  يعطيك العافيه ابغا اسال عن شريحة  بيانات لمده سنه مفتوحه بكم؟؟,,,,
  يعطيك العافيه هل توجد عندكم اجهزه والدفع شهري مع الفاتوره ؟!,,,,
  يعطيكم العافيه,,,,
  يعطيكم العافيه تم التواصل مع الرقم ١١٠٠ لكي نتواصل مع احد الموظفين ولم يتم الرد والاسوى من ذالك يطلب بتقيم الخدمه وتقيم الموظف بعد الانتظار وعدم الرد هل هذي سياسية الاعتناء بعمملا هكذا نرجو الرد والتواصل لحل المسكله,,,,
  يعني  100قيقا كم يكون سعرها,,,,
  يعني 450 ب 300,,,,
  يعني اس تي سي بس اختصار,,,,
"  يعني الجلد من اس تي سي بيتفاقم 
😭😭😭😭",,,,
"  يعني الدوله اخذت ضريبه 5%طيب ماعندنى مشكله بسيطهانتم ليش تزودون 100ريال من غي  الضريبه اش تحسو فيه يوم تنكدو ع العالم وخدمات مثل الزفت ونت زباله حسبي الله عليكم شركه نصابه",,,,
  يعني العرض مدة ٣ شهور ولا مدة شهر واحد ؟,,,,
  يعني اول اشوف الناس تسبكم مو متخيله صرت كمان اسبكم يعني توني شاحنه خدمه شهر يومين ترسلو لي رصيدك شارف على الانتهااااء؟؟؟؟؟؟ حلوها لي كيف خلص🙂🙂,,,,
  يعني إنكم حليتوها,,,,
  يعني بتسرقون ال ٢٣قيقا الي باقيه لي ي حسرتي🙂🙂؟؟؟؟ صديق كلم انت ليه م فيه يرد عليه  ,,,,
  يعني بتقنعني ان ذا نت اس تي سي ☹️💔,,,,
  يعني بعد 3 اشهر بتصير بكم 😞💔,,,,
  يعني تشتغل على شبكة اس تي سي ولا لها برج خاص 😮,,,,
  يعني ثلاث شهور بس بـ ١٢٠ ريال؟ معقول ي عمي,,,,
  يعني كل شهر اجيكم واسدد,,,,
  يعني كله اشاعه رحنا قلنا بنرتاح من شركات الاتصالات ومذلته,,,,
  يعني لو خلاص الشهر و ال100GB ماخلصت تبقا معيا ول لا,,,,
  يعني لي ٤٢ ساعه احاول اتواصل معكم عشان تحلون مشكلتي ولا احد يرد؟؟,,,,
  يعني م روجتو الا هالتغريدة احسب في أوامر ملكية 😕,,,,
  يعني متى بتردون بعد ٤ ايام مثلا ؟,,,,
  يقالكم خايفين علينا صدق وجيهن قويه مغسوله بمرق استحوا كان بكم خير الزموا شركات الاتصالات بتخفيض تكاليف خدماتهم,,,,
  يقترحون عقوبه وسجن للذين ينبعث منهم روائح كريهة ، بس مايطبقوا اللازم مع شركات الاتصالات وهم يسحلو من العميل فلوس كثيره 🙂,,,,
  يقصد شركات الإتصالات,,,,
  يقولون الاتصالات السعوديه اشترت حقوق نقل الدوري السعودي والتوقيع يوم الاثنين 🤔,,,,
"  يقولون امس شافو السلحفاة وهي شاطفة النت حقنا في الدايري 😬😪😂

#الانترنت_عندك_سريع_او_بطي",,,,
  يقولون فيه وظائف في جده هل ذا الكلام صحيح ؟,,,,
  يكذبون  ,,,,
  يلعن ابو نتكم الزق,,,,
"  يلي بفيق بلاقي رسالة مكتوب فيها انك استعملت ٨٠% من خدمة الإنترنت هول شو وضعونيسعد صباحك ✋",,,,
  يمكن فيه عقد بين شركات الاتصالات وابل عشان كذا محد يبي يتكلم,,,,
"  يمكنك الاستفادة من نقاط موبايلي برصيد في حسابك في الموقع بعد عملية تسجيلك في سوق.كومبالتواصل مع خدمة العملاء لدى موبايلي او الدخول على صفحة موبايلي في الانترنت وتحويل النقاط المكتسبةحسب كمية النقاط ومايقابلها من رصيد في سوق.كوم ولاخذ الافادة الكاملة يرجى التواصل مع موبايلي",,,,
"  يمن بردقان 
او 
يمن حوثي 
اصبحت شركة يمن موبايل
تنهب المشتركين
بني حوثان ما اكتفو ينهبو ايرادات الاتصالات
الان يمارسو هوايتهم وينهبو وحدات",,,,
  يمين بالله صاادق مدري وش بلاهم اس تي سي يتلذذون لما النت يصير بطيء 💔,,,,
"  يه شسالفه طيب😑😑💔
اس تي سي؟؟",,,,
"  يوجد لكم برج بس انه سيئ الشبكة مع ان برج stc اقدم من برجكم لكن يدعم 4G نتمنى معاملتكم لكن شوفوا حل مع البرج سوو له تعديلات "" سوينا بلاغ ، ولافيه آي إجابه ....",,,,
  يوم طفرنا,,,,
  يوم قررت اجاوب جبت فعالية صعبة راعي اللي نتهم اس تي سي,,,,
"  🌕🌕🌕🌕🌕أيفون🌕🌕🌕🌕🌕
🌕🌕🌕🌕🌕ايفون🌕🌕🌕🌕🌕
🌕🌕🌕🌕🌕ايفون🌕🌕🌕🌕🌕
🌕🌕🌕🌕🌕ايفون🌕🌕🌕🌕🌕
🌕🌕🌕🌕🌕ايفون🌕🌕🌕🌕🌕
🌕🌕🌕🌕🌕ايفون🌕🌕🌕🌕🌕
🌕🌕🌕🌕🌕ايفون🌕🌕🌕🌕🌕
#اي_جهاز_تفضل_ايفون_او_سامسونج
.
.
    
يارب افوز 😩",,,,
"  🌕🌕🌕🌕🌕أيفون🌕🌕🌕🌕🌕🌕🌕🌕🌕🌕ايفون🌕🌕🌕🌕🌕🌕🌕🌕🌕🌕ايفون🌕🌕🌕🌕🌕🌕🌕🌕🌕🌕ايفون🌕🌕🌕🌕🌕🌕🌕🌕🌕🌕ايفون🌕🌕🌕🌕🌕🌕🌕🌕🌕🌕ايفون🌕🌕🌕🌕🌕🌕🌕🌕🌕🌕ايفون🌕🌕🌕🌕🌕#اي_جهاز_تفضل_ايفون_او_سامسونج..    يارب افوز 😩",,,,
"  🌬🌬🌬،
اللهم ٓصلِ وسـلِّم عٓـلى نٓبـيـنامُـحٓــمٓــد ﴿ﷺ﴾ 
،

،
اللهم ٓصلِ وسـلِّم عٓـلى نٓبـيـنامُـحٓــمٓــد ﴿ﷺ﴾ 
،
،
اللهم ٓصلِ وسـلِّم عٓـلى نٓبـيـنامُـحٓــمٓــد ﴿ﷺ﴾
،
#الانترنت_عندك_سريع_او_بطي
#فديت_تراب_رجلك_ياامي
#عتيبه_تتصدر_المزاين
#مهرجان_الملك_عبدالعزيز_للابل",,,,
  🌸   #الانترنت_عندك_سريع_او_بطي #هلا_بالخميس #خواطر #رمزيات,,,,
"  🎁🎁🎁،
اللهم ٓصلِ وسـلِّم عٓـلى نٓبـيـنامُـحٓــمٓــد ﴿ﷺ﴾ 
،

،
اللهم ٓصلِ وسـلِّم عٓـلى نٓبـيـنامُـحٓــمٓــد ﴿ﷺ﴾ 
،
،
اللهم ٓصلِ وسـلِّم عٓـلى نٓبـيـنامُـحٓــمٓــد ﴿ﷺ﴾
،
#الانترنت_عندك_سريع_او_بطي
#فديت_تراب_رجلك_ياامي
#عتيبه_تتصدر_المزاين
#مهرجان_الملك_عبدالعزيز_للابل",,,,
"  🎄🎄😍📛📛عندكم مناسبة..💙💛💙💛ومحتار كيف تتخلص..من #الكرش ..بفترة قصيرة ولتظهر بشكل انيق وجميل...😍👘لتعرف كيف..#بعتلي_خاص..💙💛
#الانترنت_عندك_سريع_او_بطي
#فديت_تراب_رجلك_ياامي
#مهرجان_الملك_عبدالعزيز_للابل
#ابن_فطيس_يمثل_شرفاء_قطر
#عتيبه_تتصدر_المزاين",,,,
"  👇
الرئيس الأمريكي جيمي كارتر

#مسابقة_الظفرة_عام_زايد 
#السؤال_31
#قناة_الظفرة 
#عام_زايد
.
.
الاسم/محمد حسان      

 
 
 

.
.",,,,
  👍🏻حلو عرضكم بس ناقص ابراجكم ويكون سريع وحنا معكم,,,,
  👎🏻👎🏻,,,,
  👎🏿👎🏿👎🏿,,,,
  👎🏿👎🏿👎🏿 شركه,,,,
  👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻سريع شكرا اس تي سي    #الانترنت_عندك_سريع_او_بطي,,,,
  💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙 موبايلي,,,,
  💛💛,,,,
  💛💛💛💛💛💛💛,,,,
"  💛💛😍💛😍💛💛
كفوووووووو 
#روح_الاتحاد",,,,
"  💛💛😍💛😍💛💛😍💛😍💛
كفوووووووو 
#روح_الاتحاد",,,,
"  💛💛😍💛😍💛💛😍💛😍💛
كفوووووووو 
#روح_الاتحاد
يعطيكم الف عافية موبايلي 💛😍💛😍",,,,
  💦,,,,
  🔴 شركة الاتصالات السعودية STC تروج اعلان على حسابها بالتويتر لتزوير الهوية العربية لزي العربي الاصيل و تطلق عليه العمامه تعرف كيف تلبسها شوف الطريقة في هذا الفيديو 👈 هاذي السعودية 👇  ,,,,
  😁😁جوابهم مستفز مال شركات الاتصالات,,,,
  😂😂😂😂😂 اضحكوا مع ال STC,,,,
  😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂  ,,,,
  😋😋😋,,,,
  😍,,,,
"  😏
صدق لا قالوا: شين وقوي عين 😤
من زين عروضكم هذي عشان تنشبون للناس باعلاناتكم عنها؟؟؟!!!!
نصب واحتيال وضحك ع العملاء المساكين👎🏼
مير صبركم علي إن ما حولت موبايلي وقهرتكم ما اكون انا 
👐🏼 عليكم  ",,,,
"  😏صدق لا قالوا: شين وقوي عين 😤من زين عروضكم هذي عشان تنشبون للناس باعلاناتكم عنها؟؟؟!!!!نصب واحتيال وضحك ع العملاء المساكين👎🏼مير صبركم علي إن ما حولت موبايلي وقهرتكم ما اكون انا 👐🏼 عليكم  ",,,,
  😢😭💔      قلبيييييي         💦🗣  ,,,,
"  😳😳😳
نتمنى ردهم على مشاكل الشعب مع الانترنت 

#الانترنت_عندك_سريع_او_بطي",,,,
  🙃 #الاتصالات_السعودية  ,,,,
  🤢🤢🤢🤢🤢,,,,
"  🤣 الله يسعدكم مثل ما جعلتموني أضحك بوقت مالي خلق أضحك فيه .. على شركات الاتصالات بس هو وين حقوق المستخدم والمنافسة والخدمات المتنوعة المتميزة والشفافية",,,,
  🧐,,,,
" 
 
 
أسعد الله مسائكم، انا في حي نمار، استفسرت عن طريقة رفع طلب لتمديد الخط الأرضي للهاتف الثابت والالياف البصرية من أحد مكاتبكم، قال لي ما دام الحي ما فيه تمديد ما نقدر نسوي شي!!

متى سيتم دعم الحي بها؛ خصوصاً مع الضغط على شبكة الجوال؟",,,,
" 
 
#زين_السعوديه_تسرق_العملاء
كيف زادت باقه 300 جيجا كانت ب 300 الان ب 428
كيف حسبتو ال 5 بالميه ؟؟؟؟؟؟؟؟
حسبي الله ونعم الوكيل فيكم
#زين  ",,,,
" 
 
عذرا انتم غير محترمين
انا لي ساعة ابقى استقبال رسالة لاحد البنوك للدخول للبوابة الاوين ولا جايه اتجيني 
كل شهر لازم اتجيني منكم مشكلة 
متى تصيروا محترمين",,,,
" 
 
مشكلتها بالاسعار لكن سرعاتها تعدلت للامانة تردد 1800 وتردد 700 الجديد 
اهنييكم عليه بس باقي ترحمون الشعب بالاسعار 

#الانترنت_عندك_سريع_او_بطي  ",,,,
" 
 
من يوافقني الراي 
الاتصالات السعوديه تبادر بحمله تبرعات من المشتركين  #ادعم_أبطالك
من خلال رسائل نصيه ويكون الدعم لابطالنا #الحد_الجنوبي
#جنودنا_البواسل
ورب الكعبه يستاهلون بعد التنسيق مع اهل الصلاحيه
📌معلومه لازلت عند كلمتي بخصوص الدعم مني انا
#الجيش_السلماني  ",,,,
" 
 #الانترنت_عندك_سريع_او_بطي",,,,
" 

 #الانترنت_عندك_سريع_او_بطي",,,,
" 

#EnFebrero
MARVEL vs DC
Darren Osborne
Robert Wagner
22 hours ago
#BlackHistoryMonth
#FelizJueves
#CeiFLAdor
#ThursdayThoughts
#الانترنت_عندك_سريع_او_بطي
NAMJOON DAY
MARVEL vs DC
INEM
Red Dead Redemption 2
Robert Wagner
23 hours ago
#BlackHistoryMonth",,,,
" 

#FelizJueves
#バレンタインポスト
#الانترنت_عندك_سريع_او_بطي
#TimeToTalk
NAMJOON DAY
INEM
Troy Ave
義理チョコ
Faf du Plessis",,,,
" 

#زين",,,,
" 

#كم_من_المشاهير_بلكته 
#فديت_تراب_رجلك_ياامي
 #الانترنت_عندك_سريع_او_بطي 
#عتيبه_تتصدر_المزاين 
#متي_تحتاج_الصمت",,,,
" 

#كم_من_المشاهير_بلكته
#فديت_تراب_رجلك_ياامي
#الانترنت_عندك_سريع_او_بطي
#عتيبه_تتصدر_المزاين
#متي_تحتاج_الصمت",,,,
" 

أسعدتني وشرفتني بصداقتك
المنفردة وأخوتك الراقيه
أسعدك الله وأغنااك أخوي #زين",,,,
" 

تعالوو شوفو حل مع برجكم المقوي ولا اخذوه وروحو.

نبي برج الاتصالات برجهم افضلل👇

  

 #قريه_ام_الغيران_بلا_خدمات",,,,
" 

رابط إستبان بحث علمي

اذا كنت 
1- موظف في الخطوط السعودية 

أو

2- موظف بشركة الاتصالات السعودية STC

تهمني إجاباتك عبر هذا الرابط
 👆👆👆👆👆
لأهداف البحث الاكاديمي،،،

ارجوا مساعدتي في نشر الرابط لموظفي هاتين الشركتين

شاكر ومقدر لكم",,,,
" 

رابط إستبان بحث علمي
لـ
1- موظف في #الخطوط_السعودية
أو
2- موظف بشركة #الاتصالات_السعودية  #STC
تهمني إجاباتك عبر هذا الرابط 👆👆👆👆
لأهداف البحث الاكاديمي

ارجوا نشر الرابط

#الخدمات_الارضيه
#الخدمات_الارضية
#موظفين_stc_حلول_مشاريع
 ",,,,
" 

شارك وفيد غيرك

#تاسي #سوق_الأسهم  #سوق_الاسهم_السعودي  #تداول #الراجحي #اتحاد_ألاتصالات #موبايلي #الواحة #الكيميائية_السعوديه #تشب #السعودي_الالماني",,,,
" 

هيه انتم مو اننا طقطقنا على التفاحات شوي تحسبونا ننسى انكم شريكين مع اللصوص (   )

 ",,,,
" 

واحة الأنعام ، أول منصة سعودية موثوقة في تجارة المواشي والدواجن وما يتعلق بها ،، حاصل على اعتماد من هيئة الاتصالات ووسام معروف الذهبي من وزارة التجارة
#مهرجان_الملك_عبدالعزيز_للابل #واحة_الأنعام #السعودية #الإبل #الأغنام #المواشي #الدواجن #الطيور #خيل  ",,,,
" 

👆🏻👆🏻👆🏻
يلا يلا يلا يلاه لاايلايلا يلا لاالبيه ياحي ذا العيني 👏🏻👏🏻👏🏻👏🏻👏🏻💃💃💃💃💃💃💃💃💃💃💃💃👏🏻👏🏻#عتيبه_تتصدر_المزاين
#الانترنت_عندك_سريع_او_بطي سريع  ",,,,
" 
#Valentine
#فديت_تراب_رجلك_ياامي

#الانترنت_عندك_سريع_او_بطي

#عتيبه_تتصدر_المزاين
11K Tweets
#كم_من_المشاهير_بلكته
3,030 Tweets

المجالات العسكريه
Red Dead Redemption 2
38.4K Tweets
الموشر العام
العاصمه التركيه",,,,
" 
#الانترنت_عندك_سريع_او_بطي  ",,,,
" 
#الانترنت_عندك_سريع_او_بطي 
#فديت_تراب_رجلك_ياامي 
#أكاديمية_الحياة_لأجيال_جدة 
#مهرجان_الملك_عبدالعزيز_للإبل 
#سنابات_راجح_الحارثي 
#سنابات_صالح_القحطاني 
#سنابات_وليد_الشمري 
#سنابات_فارس_البشيري 
  
💚👏👏👏💙",,,,
" 
#الانترنت_عندك_سريع_او_بطي
#فديت_تراب_رجلك_ياامي",,,,
" 
#الانترنت_عندك_سريع_او_بطي
#متي_تحتاج_الصمت
#فديت_تراب_رجلك_ياامي
#غرد_بنشيد_ايات_لناصر_السعيد  #خادم_الحرمين
#قانون_التبرج_والسفور_مطلب
لابد من عودة👇صلاحيات الهيئة
إذا تؤيد #رتويت 🔁 جزيت الجنة",,,,
" 
#الخميس_الونيس 🌹
#الانترنت_عندك_سريع_او_بطي",,,,
" 
#رشا_بركات اول سيدة تشغل منصب Chief بـ #زين #الاردن 
#صحح_خبرك #تمكين    ",,,,
" 
#زين_السعودية
ارسلنا لكم كم شكوا  
والى الأن لم تردو علينا 
متى تتم صيانة شبكتكم 
إشتراكاتنا راحت بلاش في حسابكم الخاص حتى 2G  مايشتغل 
اول شي راقبوالله في
انفسكم 
وثاني شي عشان العميل ما يقاطعكم 
#هيئة_الاتصالات
#هيئة_الفساد
#وزارة_التجاره",,,,
" 
#فديت_تراب_رجلك_ياامي #الانترنت_عندك_سريع_او_بطي #كم_من_المشاهير_بلكته #عادات_حضرمية #مهرجان_الملك_عبدالعزيز_للإبل #النصر_للجميع #سبح_وهلل_واستغفر #متي_قررت_زواجك #متي_تحتاج_الصمت",,,,
" 
#فديت_تراب_رجلك_ياامي
 
#الانترنت_عندك_سريع_او_بطي
 
#عتيبه_تتصدر_المزاين
 
#غرد_لحساب_ملتقي_الساحل_الشرقي
#كم_من_المشاهير_بلكته",,,,
" 
#كم_من_المشاهير_بلكته 
#فديت_تراب_رجلك_ياامي
 #الانترنت_عندك_سريع_او_بطي 
#عتيبه_تتصدر_المزاين 
#متي_تحتاج_الصمت",,,,
" 
✒ خضر الزهراني

شبكة نادي الصحافة السعودي

#الانترنت_عندك_سريع_او_بطي",,,,
" 
اشتريت بطاقة ومو براضيه تشحن يقولي الرقم غير صالح🙂💔؟.",,,,
" 
اقترح تلزمون   يبدلون شبكة 3G بشبكة 4G من باب المصداقية
جربت شبكة 3G و 4G في الدمام والخبر والجبيل والرياض وتبوك وفيهم كلهم شبكة 3G أسرع من 4G!",,,,
" 
السعودية تلزم شركات الاتصالات بمشاركة أبراج الشبكات
 
#Bahrain #البحرين #أخبار #الوطن",,,,
" 
السلام عليكم 

ممكن المساعده ابي رقم البنك حق جوالي قفل علي ب ادخال الرقم السري خطا 
شكرا",,,,
